"","county","office","district","party","candidate","votes"
"516","Sarpy","U.S. House",2,"DEM","Brad Ashford",18372
"517","Sarpy","U.S. House",2,"LIB","Steven Laird",1696
"518","Adams","U.S. House",3,"REP","Adrian Smith",10938
"519","Antelope","U.S. House",3,"REP","Adrian Smith",2808
"520","Arthur","U.S. House",3,"REP","Adrian Smith",254
"521","Banner","U.S. House",3,"REP","Adrian Smith",344
"522","Blaine","U.S. House",3,"REP","Adrian Smith",276
"523","Boone","U.S. House",3,"REP","Adrian Smith",2437
"524","Box Butte","U.S. House",3,"REP","Adrian Smith",4202
"525","Boyd","U.S. House",3,"REP","Adrian Smith",948
"526","Brown","U.S. House",3,"REP","Adrian Smith",1381
"527","Buffalo","U.S. House",3,"REP","Adrian Smith",17654
"528","Cedar","U.S. House",3,"REP","Adrian Smith",3835
"529","Chase","U.S. House",3,"REP","Adrian Smith",1697
"530","Cherry","U.S. House",3,"REP","Adrian Smith",2527
"531","Cheyenne","U.S. House",3,"REP","Adrian Smith",4160
"532","Clay","U.S. House",3,"REP","Adrian Smith",2685
"533","Custer","U.S. House",3,"REP","Adrian Smith",4959
"534","Dakota","U.S. House",3,"REP","Adrian Smith",4723
"535","Dawes","U.S. House",3,"REP","Adrian Smith",3169
"536","Dawson","U.S. House",3,"REP","Adrian Smith",7335
"537","Deuel","U.S. House",3,"REP","Adrian Smith",876
"538","Dixon","U.S. House",3,"REP","Adrian Smith",2233
"539","Dundy","U.S. House",3,"REP","Adrian Smith",841
"540","Fillmore","U.S. House",3,"REP","Adrian Smith",2526
"541","Franklin","U.S. House",3,"REP","Adrian Smith",1451
"542","Frontier","U.S. House",3,"REP","Adrian Smith",1178
"543","Furnas","U.S. House",3,"REP","Adrian Smith",2119
"544","Gage","U.S. House",3,"REP","Adrian Smith",8032
"545","Garden","U.S. House",3,"REP","Adrian Smith",942
"546","Garfield","U.S. House",3,"REP","Adrian Smith",853
"547","Gosper","U.S. House",3,"REP","Adrian Smith",890
"548","Grant","U.S. House",3,"REP","Adrian Smith",362
"549","Greeley","U.S. House",3,"REP","Adrian Smith",955
"550","Hall","U.S. House",3,"REP","Adrian Smith",17328
"551","Hamilton","U.S. House",3,"REP","Adrian Smith",4203
"552","Harlan","U.S. House",3,"REP","Adrian Smith",1602
"553","Hayes","U.S. House",3,"REP","Adrian Smith",445
"554","Hitchcock","U.S. House",3,"REP","Adrian Smith",1306
"555","Holt","U.S. House",3,"REP","Adrian Smith",4402
"556","Hooker","U.S. House",3,"REP","Adrian Smith",368
"557","Howard","U.S. House",3,"REP","Adrian Smith",2483
"558","Jefferson","U.S. House",3,"REP","Adrian Smith",2973
"559","Johnson","U.S. House",3,"REP","Adrian Smith",1627
"560","Kearney","U.S. House",3,"REP","Adrian Smith",2916
"561","Keith","U.S. House",3,"REP","Adrian Smith",3504
"562","Keya Paha","U.S. House",3,"REP","Adrian Smith",433
"563","Kimball","U.S. House",3,"REP","Adrian Smith",1491
"564","Knox","U.S. House",3,"REP","Adrian Smith",3492
"565","Lincoln","U.S. House",3,"REP","Adrian Smith",13675
"566","Logan","U.S. House",3,"REP","Adrian Smith",401
"567","Loup","U.S. House",3,"REP","Adrian Smith",325
"568","McPherson","U.S. House",3,"REP","Adrian Smith",256
"569","Merrick","U.S. House",3,"REP","Adrian Smith",3179
"570","Morrill","U.S. House",3,"REP","Adrian Smith",1899
"571","Nance","U.S. House",3,"REP","Adrian Smith",1276
"572","Nemaha","U.S. House",3,"REP","Adrian Smith",2622
"573","Nuckolls","U.S. House",3,"REP","Adrian Smith",1909
"574","Pawnee","U.S. House",3,"REP","Adrian Smith",1113
"575","Perkins","U.S. House",3,"REP","Adrian Smith",1332
"576","Phelps","U.S. House",3,"REP","Adrian Smith",4142
"577","Pierce","U.S. House",3,"REP","Adrian Smith",3172
"578","Red Willow","U.S. House",3,"REP","Adrian Smith",4589
"579","Richardson","U.S. House",3,"REP","Adrian Smith",2995
"580","Rock","U.S. House",3,"REP","Adrian Smith",693
"581","Saline","U.S. House",3,"REP","Adrian Smith",3996
"582","Scotts Bluff","U.S. House",3,"REP","Adrian Smith",11678
"583","Sheridan","U.S. House",3,"REP","Adrian Smith",2203
"584","Sherman","U.S. House",3,"REP","Adrian Smith",1301
"585","Sioux","U.S. House",3,"REP","Adrian Smith",624
"586","Thayer","U.S. House",3,"REP","Adrian Smith",2308
"587","Thomas","U.S. House",3,"REP","Adrian Smith",340
"588","Valley","U.S. House",3,"REP","Adrian Smith",1909
"589","Wayne","U.S. House",3,"REP","Adrian Smith",3222
"590","Webster","U.S. House",3,"REP","Adrian Smith",1448
"591","Wheeler","U.S. House",3,"REP","Adrian Smith",406
"592","York","U.S. House",3,"REP","Adrian Smith",5544
"593","Johnson","State Legislature",1,"","Dan Watermeier",1731
"594","Nemaha","State Legislature",1,"","Dan Watermeier",2658
"595","Otoe","State Legislature",1,"","Dan Watermeier",5351
"596","Pawnee","State Legislature",1,"","Dan Watermeier",1101
"597","Richardson","State Legislature",1,"","Dan Watermeier",3075
"598","Sarpy","State Legislature",3,"","Carol Blood",7959
"599","Sarpy","State Legislature",3,"","Tommy Garrett",7476
"600","Douglas","State Legislature",5,"","Gilbert Ayala",3028
"601","Douglas","State Legislature",5,"","Mike McDonnell",7120
"602","Douglas","State Legislature",7,"","John Synowiecki",3248
"603","Douglas","State Legislature",7,"","Tony Vargas",5244
"604","Douglas","State Legislature",9,"","Larry Roland",2773
"605","Douglas ","State Legislature",9,"","Sara Howard",10552
"606","Douglas","State Legislature",11,"","Ernie Chambers",7763
"607","Douglas","State Legislature",11,"","John Sciara",1726
"608","Douglas","State Legislature",13,"","Jill Brown",6605
"609","Douglas","State Legislature",13,"","Justin Wayne",6920
"610","Dodge","State Legislature",15,"","David A. Schnoor",7189
"611","Dodge","State Legislature",15,"","Lynne M. Walz",7601
"612","Dakota","State Legislature",17,"","Ardel Bengtson",2859
"613","Dakota","State Legislature",17,"","Joni Albrecht",2929
"614","Thurston","State Legislature",17,"","Ardel Bengtson",533
"615","Thurston","State Legislature",17,"","Joni Albrecht",1385
"616","Wayne","State Legislature",17,"","Ardel Bengtson",1059
"617","Wayne","State Legislature",17,"","Joni Albrecht",2511
"618","Madison","State Legislature",19,"","Jim Scheer",12040
"619","Stanton","State Legislature",19,"","Jim Scheer",868
"620","Lancaster","State Legislature",21,"","Larry Scherer",6567
"621","Lancaster ","State Legislature",21,"","Mike Hilgers",8588
"622","Butler","State Legislature",23,"","Bruce Bostelman",2472
"623","Butler","State Legislature",23,"","Jerry Johnson",1214
"624","Colfax","State Legislature",23,"","Bruce Bostelman",1114
"625","Colfax","State Legislature",23,"","Jerry Johnson",1094
"626","Saunders","State Legislature",23,"","Bruce Bostelman",5107
"627","Saunders","State Legislature",23,"","Jerry Johnson",4642
"628","Lancaster","State Legislature",25,"","Jim Gordon",10258
"629","Lancaster","State Legislature",25,"","Suzanne Geist",12899
"630","Lancaster ","State Legislature",27,"","Anna Wishart",9930
"631","Lancaster ","State Legislature",27,"","Dick Clark",3657
"632","Lancaster","State Legislature",29,"","Kate Bolz",14821
"633","Lancaster","State Legislature",29,"","Melody Vaccaro",2936
"634","Douglas","State Legislature",31,"","Ian M. Swanson",8985
"635","Douglas","State Legislature",31,"","Rick Kolowski",9762
"636","Adams","State Legislature",33,"","Les Seiler",5150
"637","Adams","State Legislature",33,"","Steve Halloran",7714
"638","Hall","State Legislature",33,"","Les Seiler",903
"639","Hall","State Legislature",33,"","Steve Halloran",1450
"640","Hall","State Legislature",35,"","Dan Quick",5743
"641","Hall","State Legislature",35,"","Gregg Neuhaus",5668
"642","Buffalo","State Legislature",37,"","Bob Lammers",7547
"643","Buffalo","State Legislature",37,"","John S. Lowe Sr.",8600
"644","Douglas","State Legislature",39,"","Bill Armbrust",9646
"645","Douglas","State Legislature",39,"","Lou Ann Linehan",11729
"646","Antelope","State Legislature",41,"","Tom Briese",2285
"647","Boone","State Legislature",41,"","Tom Briese",2518
"648","Garfield","State Legislature",41,"","Tom Briese",655
"649","Greeley","State Legislature",41,"","Tom Briese",758
"650","Howard","State Legislature",41,"","Tom Briese",2099
"651","Pierce","State Legislature",41,"","Tom Briese",2736
"652","Sherman","State Legislature",41,"","Tom Briese",1092
"653","Valley","State Legislature",41,"","Tom Briese",1609
"654","Wheeler","State Legislature",41,"","Tom Briese",328
"655","Blaine","State Legislature",43,"","Al Davis",130
"656","Blaine","State Legislature",43,"","Tom Brewer",179
"657","Box Butte","State Legislature",43,"","Al Davis",2482
"658","Box Butte","State Legislature",43,"","Tom Brewer",1216
"659","Brown","State Legislature",43,"","Al Davis",785
"660","Brown","State Legislature",43,"","Tom Brewer",783
"661","Cherry","State Legislature",43,"","Al Davis",940
"662","Cherry","State Legislature",43,"","Tom Brewer",2069
"663","Dawes","State Legislature",43,"","Al Davis",2113
"664","Dawes","State Legislature",43,"","Tom Brewer",1526
"665","Grant","State Legislature",43,"","Al Davis",207
"666","Grant","State Legislature",43,"","Tom Brewer",192
"667","Hooker","State Legislature",43,"","Al Davis",199
"668","Hooker","State Legislature",43,"","Tom Brewer",204
"669","Keya Paha","State Legislature",43,"","Al Davis",187
"670","Keya Paha","State Legislature",43,"","Tom Brewer",295
"671","Logan","State Legislature",43,"","Al Davis",179
"672","Logan","State Legislature",43,"","Tom Brewer",241
"673","Loup","State Legislature",43,"","Al Davis",211
"674","Loup","State Legislature",43,"","Tom Brewer",148
"675","McPherson","State Legislature",43,"","Al Davis",142
"676","McPherson","State Legislature",43,"","Tom Brewer",135
"677","Sheridan","State Legislature",43,"","Al Davis",648
"678","Sheridan","State Legislature",43,"","Tom Brewer",1950
"679","Thomas","State Legislature",43,"","Al Davis",153
"680","Thomas","State Legislature",43,"","Tom Brewer",231
"681","Sarpy","State Legislature",45,"","Michael J. Cook",6734
"682","Sarpy","State Legislature",45,"","Sue Crawford",8774
"683","Arthur","State Legislature",47,"","Karl Elmshaeuser",98
"684","Arthur","State Legislature",47,"","Steve Erdman",156
"685","Banner","State Legislature",47,"","Karl Elmshaeuser",90
"686","Banner","State Legislature",47,"","Steve Erdman",277
"687","Box Butte","State Legislature",47,"","Karl Elmshaeuser",193
"688","Box Butte","State Legislature",47,"","Steve Erdman",756
"689","Cheyenne","State Legislature",47,"","Karl Elmshaeuser",1372
"690","Cheyenne","State Legislature",47,"","Steve Erdman",3000
"691","Deuel","State Legislature",47,"","Karl Elmshaeuser",236
"692","Deuel","State Legislature",47,"","Steve Erdman",691
"693","Garden","State Legislature",47,"","Karl Elmshaeuser",236
"694","Garden","State Legislature",47,"","Steve Erdman",761
"695","Keith","State Legislature",47,"","Karl Elmshaeuser",1657
"696","Keith","State Legislature",47,"","Steve Erdman",2131
"697","Kimball","State Legislature",47,"","Karl Elmshaeuser",402
"698","Kimball","State Legislature",47,"","Steve Erdman",1144
"699","Morrill","State Legislature",47,"","Karl Elmshaeuser",833
"700","Morrill","State Legislature",47,"","Steve Erdman",1305
"701","Sioux","State Legislature",47,"","Karl Elmshaeuser",113
"702","SIoux","State Legislature",47,"","Steve Erdman",518
"703","Sarpy","State Legislature",49,"","John Murante",15137
